trigger,start_s,end_s,allowed,match,match debug1
68,451.927000,451.929000,1,1,1
81,453.912000,453.914000,1,1,1
75,454.588000,454.590000,1,1,1
81,456.566000,456.568000,1,1,1
54,457.265000,457.267000,1,1,1
81,459.250000,459.252000,1,1,1
57,459.909000,459.911000,1,1,1
81,461.887000,461.889000,1,1,1
102,462.578000,462.580000,1,1,1
100,463.088000,463.090000,1,1,1
101,464.272000,464.274000,1,1,1
103,464.556000,464.558000,1,1,1
102,465.555000,465.557000,1,1,1
100,466.089000,466.091000,1,1,1
101,467.273000,467.275000,1,1,1
103,467.540000,467.542000,1,1,1
55,468.524000,468.526000,1,1,1
81,470.509000,470.511000,1,1,1
77,471.185000,471.187000,1,1,1
81,473.163000,473.165000,1,1,1
67,473.821000,473.823000,1,1,1
81,475.798000,475.800000,1,1,1
71,476.489000,476.491000,1,1,1
81,478.467000,478.469000,1,1,1
61,479.133000,479.135000,1,1,1
81,481.111000,481.113000,1,1,1
69,481.811000,481.813000,1,1,1
81,483.796000,483.798000,1,1,1
77,484.479000,484.481000,1,1,1
81,486.464000,486.466000,1,1,1
49,487.148000,487.150000,1,1,1
81,489.126000,489.128000,1,1,1
50,489.826000,489.828000,1,1,1
81,491.811000,491.813000,1,1,1
59,492.495000,492.496000,1,1,1
81,494.480000,494.481000,1,1,1
53,495.155000,495.157000,1,1,1
81,497.133000,497.135000,1,1,1
57,497.832000,497.834000,1,1,1
81,499.817000,499.819000,1,1,1
43,500.501000,500.503000,1,1,1
81,502.486000,502.488000,1,1,1
