trial,trial_exp,run,block,trigger,start_s,end_s,allowed,match
154,153,1,2,81,NaN,NaN,1,GazeBreak
155,154,1,2,67,674.096000,674.098000,1,1
155,154,1,2,81,676.756000,676.758000,1,1
156,155,1,2,102,677.273000,677.275000,1,1
156,155,1,2,100,678.549000,678.551000,1,1
156,155,1,2,101,679.809000,679.811000,1,1
156,155,1,2,103,679.934000,679.936000,1,1
157,156,1,2,49,680.751000,680.753000,1,1
157,156,1,2,81,683.406000,683.408000,1,1
158,157,1,2,59,683.929000,683.931000,1,1
158,157,1,2,81,686.590000,686.592000,1,1
159,158,1,2,60,687.123000,687.125000,1,1
159,158,1,2,81,689.784000,689.786000,1,1
160,159,1,2,44,690.301000,690.303000,1,1
160,159,1,2,81,692.956000,692.958000,1,1
161,160,1,2,64,693.495000,693.497000,1,1
161,160,1,2,81,696.156000,696.158000,1,1
161,160,1,2,151,696.166000,696.168000,1,REPLAY
162,160,1,2,72,696.673000,696.675000,1,REPLAY
162,160,1,2,81,699.328000,699.330000,1,REPLAY
163,160,1,2,74,699.859000,699.861000,1,REPLAY
163,160,1,2,81,702.520000,702.522000,1,REPLAY
