trigger,start_s,end_s,allowed,match,match debug1
41,516.799000,516.801000,1,NaN,NaN
81,518.784000,518.786000,1,NaN,NaN
74,519.468000,519.470000,1,NaN,NaN
81,521.453000,521.455000,1,NaN,NaN
48,522.121000,522.123000,1,NaN,NaN
81,524.106000,524.108000,1,NaN,NaN
45,524.764000,524.766000,1,NaN,NaN
81,526.749000,526.751000,1,NaN,NaN
65,527.417000,527.419000,1,NaN,NaN
81,529.402000,529.404000,1,NaN,NaN
68,530.061000,530.062000,1,NaN,NaN
81,532.046000,532.047000,1,NaN,NaN
75,532.704000,532.706000,1,NaN,NaN
81,534.689000,534.691000,1,NaN,NaN
54,535.357000,535.359000,1,NaN,NaN
81,537.342000,537.344000,1,NaN,NaN
57,538.000000,538.002000,1,NaN,NaN
81,539.985000,539.987000,1,NaN,NaN
102,540.644000,540.646000,1,NaN,NaN
100,541.161000,541.163000,1,NaN,NaN
101,542.346000,542.348000,1,NaN,NaN
103,542.629000,542.631000,1,NaN,NaN
102,543.597000,543.599000,1,NaN,NaN
100,544.131000,544.133000,1,NaN,NaN
101,545.315000,545.317000,1,NaN,NaN
103,545.582000,545.584000,1,NaN,NaN
55,546.566000,546.568000,1,NaN,NaN
81,548.551000,548.553000,1,NaN,NaN
77,549.235000,549.237000,1,NaN,NaN
81,551.220000,551.222000,1,NaN,NaN
67,551.887000,551.889000,1,NaN,NaN
81,553.872000,553.874000,1,NaN,NaN
71,554.531000,554.533000,1,NaN,NaN
81,556.516000,556.518000,1,NaN,NaN
61,557.200000,557.202000,1,NaN,NaN
81,559.185000,559.187000,1,NaN,NaN
69,559.869000,559.871000,1,NaN,NaN
81,561.854000,561.856000,1,NaN,NaN
77,562.521000,562.523000,1,NaN,NaN
81,564.506000,564.508000,1,NaN,NaN
49,565.173000,565.175000,1,NaN,NaN
81,567.158000,567.160000,1,NaN,NaN
50,567.926000,567.928000,1,NaN,NaN
81,569.911000,569.913000,1,NaN,NaN
59,570.594000,570.596000,1,NaN,NaN
81,572.579000,572.581000,1,NaN,NaN
53,573.247000,573.249000,1,NaN,NaN
81,575.232000,575.234000,1,NaN,NaN
57,575.891000,575.893000,1,NaN,NaN
81,577.876000,577.878000,1,NaN,NaN
43,578.534000,578.536000,1,NaN,NaN
81,580.519000,580.521000,1,NaN,NaN
